State,Date,Hillary Clinton,Donald Trump,Gary Johnson,Jill Stein,Evan McMullin,Margin of error,Lead,Clinton potential EVs,Trump potential EVs,Tied potential EVs,Result
Alabama,"September 27, 2016",32%,48%,,,,2.0%,16,,9,,25.8
Alaska,"October 21–26, 2016",47%,43%,7%,3%,,4.9%,4,,,3,14.7
Arizona,"November 4–6, 2016",45%,47%,5%,2%,,4.9%,2,,,11,3.5
Arkansas,"October 18–25, 2016",36%,59%,,,,4.1%,23,,6,,26.9
California,"November 4–6, 2016",58%,35%,3%,2%,,4.9%,28,55,,,30.1
Colorado,"November 3–4, 2016",48%,43%,4%,2%,1%,3.7%,5,,,9,4.9
Connecticut,"September 2–5, 2016",50%,35%,9%,4%,,3.0%,15,7,,,13.6
Delaware,"September 16–28, 2016",51%,30%,7%,2%,,4.1%,21,3,,,11.4
Florida,"November 6, 2016",46%,50%,2%,1%,,3.3%,4,,,29,1.2
Georgia,"November 6, 2016",45%,52%,2%,,,2.8%,7,,16,,5.1
Hawaii,"September 6, 2016",51%,25%,7%,7%,,4%,26,,,,
Idaho,"October 23–24, 2016",29%,48%,6%,,10%,4.0%,19,,4,,31.8
Illinois,"October 27–30, 2016",53%,41%,2%,0%,,4.3%,12,20,,,17.1
Indiana,"November 1–3, 2016",37%,48%,9%,,,4.0%,11,,11,,18.9
Iowa,"November 1–4, 2016",39%,46%,6%,1%,,3.5%,7,,,6,9.4
Kansas,"November 1–3, 2016",34%,58%,,,,5.5%,24,,6,,20.6
Kentucky,"October 25–30, 2016",37%,54%,1%,1%,1%,4.0%,17,,8,,29.8
Louisiana,"October 19–21, 2016",35%,50%,5%,,,4.4%,15,,8,,19.6
Maine,"October 28–30, 2016",46%,42%,12%,2%,,3.5%,4,1,,3,3
Maryland,"September 27–30, 2016",63%,27%,4%,2%,,4.0%,36,10,,,26.4
Massachusetts,"October 23 – November 2, 2016",56%,26%,8%,3%,,5.0%,30,11,,,27.2
Michigan,"November 6, 2016",47%,49%,3%,1%,,2.8%,2,,,16,0.2
Minnesota,"October 22–26, 2016",49%,39%,5%,2%,1%,3.9%,10,10,,,1.5
Missouri,"November 4–5, 2016",41%,47%,7%,2%,,3.5%,6,,,10,18.6
Mississippi,"August 17, 2016",39%,54%,3%,,,2.9%,15,,,,
Montana,"October 10–12, 2016",36%,46%,11%,,,3.2%,10,,3,,20.4
Nebraska,"September 25–27, 2016",29%,56%,7%,1%,,3.6%,27,,4,1,25
Nevada,"November 4–6, 2016",46%,46%,5%,1%,,4.9%,Tied,,,6,2.4
New Hampshire,"November 3–6, 2016",49%,38%,6%,1%,,3.7%,11,4,,,0.4
New Jersey,"October 27 – November 2, 2016",51%,40%,3%,1%,,3.8%,11,14,,,14.2
New Mexico,"November 6, 2016",46%,44%,6%,1%,,1.8%,2,,,5,8.2
New York,"November 3–4, 2016",51%,34%,5%,2%,,4.5%,17,29,,,22.5
North Carolina,"November 4–6, 2016",44%,44%,3%,,,3.5%,Tied,,,15,3.6
North Dakota,"September 12–17, 2016",32%,43%,8%,1%,,4.9%,11,,3,,35.7
Ohio,"October 27 – November 5, 2016",39%,46%,7%,3%,,3.2%,7,,18,,8.1
Oklahoma,"October 18–20, 2016",30%,60%,5%,,,4.3%,30,,7,,36.4
Oregon,"October 24–29, 2016",41%,34%,4%,2%,,4.4%,7,,,7,11
Pennsylvania,"November 3–6, 2016",46%,40%,7%,2%,,2.8%,6,20,,,0.7
Rhode Island,"October 2–4, 2016",52%,32%,5%,5%,,3.4%,20,4,,,18.5
South Carolina,"October 30–31, 2016",36%,47%,3%,1%,,4.4%,11,,9,,14.7
South Dakota,"October 24–26, 2016",35%,49%,7%,,,4.0%,14,,3,,29.8
Tennessee,"October 14–17, 2016",34%,44%,7%,2%,,4.4%,10,,11,,26
Texas,"October 31 – November 1, 2016",35%,49%,5%,4%,,3.6%,14,,38,,9
Utah,"November 3–5, 2016",30%,40%,4%,,25%,2.7%,10,,6,,18.1
Vermont,"October 24–26, 2016",52%,26%,5%,2%,,3.0%,26,3,,,26.4
Virginia,"November 1–6, 2016",48%,42%,3%,1%,2%,3.6%,6,,,13,5.3
Washington,"November 4–6, 2016",55%,39%,,,,4.9%,16,12,,,16.2
West Virginia,"September 13–17, 2016",28%,60%,,,,5.0%,32,,5,,42.2
Wisconsin,"November 1–2, 2016",49%,41%,3%,,,1.9%,8,10,,,0.8
Wyoming,"October 5–11, 2016",20%,58%,9%,2%,,3.6%,38,,3,,46.3
